ET Within_ET_space
DP310_S378_L003 ET_B TRUE
DP309_S377_L003 ET_B TRUE
DP308_S376_L003 ET_B FALSE
DP307_S375_L003 ET_F TRUE
DP305_S373_L003 ET_F FALSE
DP304_S372_L003 ET_B FALSE
DP303_S371_L003 ET_B TRUE
DP302_S352_L003 ET_F TRUE
DP301_S350_L003 ET_F TRUE
DP300_S349_L003 ET_B FALSE
DP299_S348_L003 ET_B TRUE
DP297_S340_L003 ET_B TRUE
DP296_S339_L003 ET_B TRUE
DP295_S338_L003 ET_B TRUE
DP294_S336_L003 ET_F TRUE
DP293_S330_L003 ET_P TRUE
DP292_S328_L003 ET_B TRUE
DP287_S297_L003 ET_F FALSE
DP285_S296_L003 ET_B FALSE
DP284_S294_L003 ET_F TRUE
DP282_S292_L003 ET_F TRUE
DP281_S288_L003 ET_B FALSE
DP280_S274_L003 ET_P TRUE
DP279_S273_L003 ET_B TRUE
DP278_S272_L003 ET_F TRUE
DP277_S271_L003 ET_B FALSE
DP276_S270_L003 ET_F FALSE
DP275_S269_L003 ET_B TRUE
DP274_S268_L003 ET_P TRUE
DP273_S267_L003 ET_F TRUE
DP272_S266_L003 ET_B FALSE
DP271_S265_L003 ET_B TRUE
DP270_S264_L003 ET_F TRUE
DP269_S263_L003 ET_F TRUE
DP267_S262_L003 ET_F FALSE
DP265_S261_L003 ET_P TRUE
DP264_S260_L003 ET_B FALSE
DP263_S259_L003 ET_F TRUE
DP262_S258_L003 ET_P FALSE
DP261_S257_L003 ET_F TRUE
DP260_S256_L003 ET_P TRUE
DP258_S255_L003 ET_B TRUE
DP256_S254_L003 ET_B TRUE
DP255_S253_L002 ET_B TRUE
DP254_S252_L002 ET_B TRUE
DP253_S251_L002 ET_F TRUE
DP252_S250_L002 ET_B TRUE
DP250_S248_L002 ET_P FALSE
DP249_S247_L002 ET_B FALSE
DP246_S244_L002 ET_B FALSE
DP245_S243_L002 ET_B FALSE
DP244_S242_L002 ET_B TRUE
DP243_S241_L002 ET_F FALSE
DP241_S239_L002 ET_B TRUE
DP240_S238_L002 ET_B TRUE
DP239_S237_L002 ET_P TRUE
DP237_S235_L002 ET_P FALSE
DP236_S234_L002 ET_P FALSE
DP234_S232_L002 ET_P FALSE
DP231_S229_L002 ET_F FALSE
DP229_S227_L002 ET_F TRUE
DP226_S224_L002 ET_P FALSE
DP225_S223_L002 ET_F TRUE
DP224_S222_L002 ET_F FALSE
DP223_S221_L002 ET_B FALSE
DP222_S220_L002 ET_F TRUE
DP221_S219_L002 ET_F TRUE
DP220_S218_L002 ET_F FALSE
DP219_S217_L002 ET_F TRUE
DP218_S216_L002 ET_B FALSE
DP213_S211_L002 ET_F FALSE
DP211_S209_L002 ET_F FALSE
DP208_S206_L002 ET_B FALSE
DP207_S205_L002 ET_B FALSE
DP206_S204_L002 ET_B TRUE
DP204_S202_L002 ET_B TRUE
DP203_S201_L002 ET_B FALSE
DP202_S200_L002 ET_B TRUE
DP201_S199_L002 ET_F FALSE
DP200_S198_L002 ET_F TRUE
DP199_S197_L002 ET_F FALSE
DP198_S196_L002 ET_B TRUE
DP197_S195_L002 ET_F FALSE
DP195_S193_L002 ET_F TRUE
DP194_S192_L002 ET_F FALSE
DP193_S191_L002 ET_P FALSE
DP192_S190_L002 ET_B FALSE
DP189_S187_L002 ET_F FALSE
DP188_S186_L002 ET_P TRUE
DP187_S185_L002 ET_B TRUE
DP186_S184_L002 ET_B TRUE
DP185_S183_L002 ET_B FALSE
DP184_S182_L002 ET_B FALSE
DP183_S181_L002 ET_B FALSE
DP181_S179_L002 ET_F TRUE
DP180_S178_L002 ET_F FALSE
DP179_S177_L002 ET_F TRUE
DP178_S176_L002 ET_B TRUE
DP177_S175_L002 ET_F TRUE
DP176_S174_L002 ET_B TRUE
DP175_S173_L002 ET_F FALSE
DP172_S171_L002 ET_B FALSE
DP171_S170_L002 ET_B TRUE
DP170_S169_L002 ET_B FALSE
DP169_S168_L002 ET_P TRUE
DP167_S166_L002 ET_B FALSE
DP166_S165_L002 ET_B TRUE
DP165_S164_L002 ET_F TRUE
DP164_S163_L002 ET_B TRUE
DP162_S161_L002 ET_F TRUE
DP161_S160_L002 ET_B FALSE
DP160_S159_L002 ET_B FALSE
DP159_S158_L002 ET_B TRUE
DP158_S157_L002 ET_F TRUE
DP157_S156_L002 ET_F TRUE
DP156_S155_L002 ET_F TRUE
DP155_S154_L002 ET_B FALSE
DP154_S153_L002 ET_B TRUE
DP153_S152_L002 ET_F FALSE
DP152_S151_L002 ET_B TRUE
DP151_S150_L002 ET_F TRUE
DP150_S149_L002 ET_P FALSE
DP149_S148_L002 ET_B TRUE
DP148_S147_L002 ET_B FALSE
DP147_S146_L002 ET_B FALSE
DP146_S145_L002 ET_B FALSE
DP144_S143_L002 ET_B TRUE
DP143_S142_L002 ET_P TRUE
DP139_S138_L002 ET_F TRUE
DP138_S137_L002 ET_P FALSE
DP137_S136_L002 ET_F TRUE
DP136_S135_L002 ET_B TRUE
DP135_S134_L002 ET_F TRUE
DP132_S131_L002 ET_B FALSE
DP131_S130_L002 ET_F TRUE
DP130_S129_L002 ET_B TRUE
DP127_S126_L001 ET_B TRUE
DP124_S123_L001 ET_B TRUE
DP123_S122_L001 ET_B TRUE
DP122_S121_L001 ET_F TRUE
DP121_S120_L001 ET_B TRUE
DP120_S119_L001 ET_P FALSE
DP119_S118_L001 ET_F TRUE
DP117_S116_L001 ET_F FALSE
DP116_S115_L001 ET_B TRUE
DP115_S114_L001 ET_F FALSE
DP114_S113_L001 ET_B FALSE
DP112_S111_L001 ET_B FALSE
DP111_S110_L001 ET_F TRUE
DP110_S109_L001 ET_F FALSE
DP109_S108_L001 ET_F TRUE
DP108_S107_L001 ET_B FALSE
DP107_S106_L001 ET_B FALSE
DP104_S103_L001 ET_F TRUE
DP103_S102_L001 ET_B TRUE
DP101_S100_L001 ET_B FALSE
DP100_S99_L001 ET_F TRUE
