Sample	Input	Quality_controlled	Decontaminated	Entropy_filtered
DC001_S10_L001	33841318	25087284	25086230	25082478
DC002_S15_L001	33798414	24281006	24280394	24276964
DC003_S16_L001	37754384	28690470	28688712	28685158
DC004_S23_L001	33513710	23867374	23825768	23822616
DC005_S33_L001	37797068	28148108	28017352	28014723
DC006_S34_L001	42416914	31318676	31315736	31312510
DC007_S44_L001	41940948	30765034	30763300	30759675
DC009_S51_L001	34865932	25450216	25448998	25443653
DC010_S56_L001	45404264	33550378	33548014	33543374
DC011_S59_L001	26828344	19619004	19611978	19608137
DC013_S84_L001	39279788	28229894	28211416	28207359
DC015_S88_L001	41289396	29711402	29707556	29703709
DC016_S92_L001	47333336	33677320	33668362	33660720
DC017_S96_L001	38250456	28496460	28491728	28487445
DC018_S98_L001	50068424	35991288	35987694	35970792
DC019_S101_L001	36788336	26766600	26765126	26757977
DC020_S104_L001	51113330	37700042	37697982	37693612
DC021_S105_L001	36752646	26135122	25953858	25949595
DC022_S112_L001	39869892	28682230	28676392	28671845
DC023_S117_L001	37468754	26899928	25748436	25744996
DC024_S124_L001	56268664	42254378	42213432	42198762
DC026_S125_L001	51611522	37661330	37655108	37647076
DC027_S127_L002	48028114	36177484	36153638	36147366
DC029_S128_L002	52249846	38320946	38064466	38058227
DC031_S132_L002	39739836	29051402	29042886	29037412
DC032_S133_L002	40247626	28967962	28938304	28934277
DC033_S139_L002	38936440	28479720	28435442	28430795
DC034_S140_L002	48891214	35816946	35801812	35793702
DC035_S144_L002	58595072	44466058	44300880	44296135
DC036_S162_L002	38398750	27711616	27705732	27694363
DC037_S167_L002	43412200	31663606	31660452	31644127
DC038_S172_L002	37639616	27637490	27633658	27626106
DC039_S188_L002	43050774	32032066	31813576	31809023
DC041_S189_L002	35683864	26229772	26227870	26222783
DC042_S194_L002	41206752	30047704	30035918	30029775
DC044_S203_L002	32671096	24507176	24506460	24502978
DC046_S207_L002	38905754	28380338	28378834	28374914
DC048_S208_L002	43679596	31815060	31805858	31801650
DC049_S210_L002	40307910	29976028	29965640	29962460
DC050_S212_L002	36957536	27307578	27305352	27301969
DC051_S213_L002	38832562	27346082	27337960	27333663
DC052_S214_L002	41644884	30229854	30229456	30225368
DC054_S225_L002	37306920	27452540	27451860	27448910
DC056_S226_L002	44447298	33114666	33091448	33087536
DC057_S228_L002	44171570	32753614	32748950	32745017
DC058_S230_L002	42707178	31898056	31888232	31884644
DC059_S231_L002	32751842	23455748	23455084	23452815
DC060_S233_L002	40322934	29193876	29189232	29185228
DC061_S236_L002	46862686	33571134	33328212	33321897
DC063_S240_L002	35941574	27516630	27502982	27499721
DC064_S245_L002	29275278	22070318	22062532	22059716
DC065_S246_L002	41215356	30747922	30733252	30728203
DC066_S249_L002	40568222	30401026	30399834	30395984
DC067_S275_L003	33042102	24977534	24976726	24974055
DC068_S276_L003	30893840	23146914	23121852	23119309
DC069_S277_L003	24934612	18177654	17957006	17954810
DC070_S278_L003	27197110	20116136	20115436	20113168
DC071_S279_L003	33357572	25763164	25659530	25656729
DC072_S280_L003	32829196	23988230	23985984	23982304
DC073_S281_L003	32149122	24072294	24059932	24057167
DC075_S282_L003	32913286	24990994	24989940	24986505
DC076_S283_L003	35974654	27432500	27430862	27427665
DC077_S284_L003	33549554	25205348	25201480	25198599
DC078_S286_L003	35918042	26527638	26517096	26509298
DC079_S287_L003	33562502	24938982	24918294	24909122
DC081_S289_L003	29378310	22157758	22083940	22077092
DC082_S290_L003	31346884	22593730	22591674	22528462
DC083_S291_L003	31258110	22960606	22876936	22862599
DC085_S293_L003	36923190	28677906	28676210	28673561
DC087_S295_L003	33375078	24145982	24141138	24130949
DC090_S298_L003	34936190	26073374	26071658	26066198
DC092_S299_L003	28106496	21125742	21119764	21117326
DC094_S301_L003	34444278	25674480	25672784	25669783
DC095_S302_L003	35406250	26565328	26552766	26545569
DC096_S303_L003	35538974	26018448	25999934	25897084
DC097_S304_L003	29765562	21325188	21228274	21224406
DC098_S305_L003	29892236	19794566	19781310	19745886
DC099_S306_L003	30776466	21892408	21887976	21875623
DC100_S307_L003	32073480	23416284	23413448	23400410
DC101_S308_L003	29568942	21155364	21152038	21147662
DC102_S309_L003	28787328	20128418	20126688	20122327
DC103_S310_L003	40604888	30732220	30729996	30722426
DC104_S311_L003	41001080	30223422	30197646	30161220
DC105_S312_L003	32850286	23863344	23861072	23841587
DC106_S313_L003	31287202	22911570	22889658	22881914
DC107_S314_L003	29401598	21424418	21422312	21279441
DC108_S315_L003	36790442	27449564	27432290	27424912
DC109_S316_L003	34249370	25653284	25648658	25607270
DC110_S317_L003	17450206	12886892	12886130	12653531
DC111_S318_L003	35257414	26760132	26756794	26753793
DC112_S319_L003	33399964	24611776	24556040	24553002
DC113_S320_L003	32042564	22954912	22950140	22935212
DC114_S321_L003	28783828	19935376	19901994	19899300
DC115_S322_L003	34244980	24505798	24497008	24481419
DC117_S323_L003	35829918	25658182	25654148	25634675
DC118_S324_L003	41191280	30089186	30071418	30066455
DC119_S325_L003	43134072	32198538	32189624	32177642
DC120_S326_L003	30480456	22393376	22387996	22383051
DC121_S327_L003	35939060	26970262	26877934	26874393
DC123_S329_L003	28552352	21327070	21228184	21222871
DC125_S331_L003	33818378	25068628	25063906	25060035
DC126_S332_L003	31332446	23315082	23310466	23305818
DC127_S333_L003	35290288	26143738	26141908	26086038
DC128_S334_L003	38874758	29731968	29227178	29224496
DC129_S335_L003	36841500	28644622	27954718	27952105
DC131_S337_L003	39341280	29756922	29752960	29742739
DC135_S341_L003	37472580	28556818	28556144	28550508
DC136_S342_L003	32120900	23444236	23442378	23427710
DC137_S343_L003	30941846	22485404	22481982	22472672
DC138_S344_L003	30562258	22055430	22054244	21954086
DC139_S345_L003	32661356	23516766	23499612	23460803
DC140_S346_L003	33556948	25003322	24909984	24893011
DC141_S347_L003	42181250	31008740	30974468	30961670
DC145_S351_L003	30414930	22524654	22511558	22500845
DC147_S353_L003	30920882	22544624	22540750	22483766
DC148_S354_L003	38508696	29381150	29374002	29369496
DC149_S355_L003	32045600	23519574	23467328	23426386
DC150_S356_L003	31062322	22735264	22733276	22657573
DC151_S357_L003	32337540	24258890	24253862	24217100
DC152_S358_L003	32101514	23594948	23573284	23414068
DC153_S359_L003	33483022	24816244	24814098	24805377
DC154_S360_L003	39086306	28603122	28599216	28585352
DC155_S361_L003	27416156	19875196	19870842	19855988
DC156_S362_L003	32952850	24585080	23909146	23901396
DC158_S363_L003	35054256	26167532	26166306	26160581
DC159_S364_L003	30958222	23794422	23794014	23782833
DC160_S365_L003	36255072	27157092	27152448	27148858
DC161_S366_L003	26645708	19651882	19628100	19618542
DC162_S367_L003	30578660	22250606	22243802	22236989
DC163_S368_L003	35248252	25370496	25366844	25319382
DC164_S369_L003	31560640	23474182	23461054	23457672
DC165_S370_L003	34553534	25439730	25436848	25429843
DC166_S374_L003	30759124	22409640	22358766	22345558
DC167_S379_L003	38536570	28538860	28525306	28520928
DP001_S1_L001	37071498	27064880	27058946	27055172
DP002_S2_L001	38948934	27900548	27880208	27874746
DP003_S3_L001	37885878	27570232	27461356	27456114
DP004_S4_L001	41828272	30829704	30823462	30819782
DP005_S5_L001	43754036	31285378	31227110	31221200
DP006_S6_L001	38976332	25973108	25915208	25911426
DP007_S7_L001	37334480	27322078	27317194	27314101
DP008_S8_L001	43958474	31628768	31619976	31612143
DP009_S9_L001	36266388	26808204	26802880	26798666
DP011_S11_L001	36087286	25642044	25610870	25604960
DP012_S12_L001	39223210	28302584	28300584	28290265
DP013_S13_L001	41449576	29959860	29952508	29945398
DP014_S14_L001	38967034	27750982	27691562	27684558
DP017_S17_L001	35858668	25456382	25409538	25403727
DP018_S18_L001	41401198	29869152	29760304	29755404
