feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	collection_method	collection_method	7.48766871434169	0.785010801487637	724	44	2.18638522186884e-20	7.01829656219899e-18
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruthenibacterium	Case_status	Case_status	1.12015530666275	0.202895129138035	724	707	4.71218760127618e-08	7.56306110004827e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus	Case_status	Case_status	2.18529637239612	0.404008695951282	724	378	8.63131227309002e-08	9.23550413220632e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	Case_status	Case_status	-0.66049865197695	0.124281888449634	724	721	1.42761549522536e-07	1.14566143491835e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus	Case_status	Case_status	1.1858696142207	0.258412203604052	724	145	5.25231170800869e-06	0.000336314280326432
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia	Case_status	Case_status	-1.68666262252455	0.370670296158913	724	660	6.2862482304006e-06	0.000336314280326432
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Pseudoflavonifractor	total_seqs_scaled	total_seqs_scaled	0.471708751353593	0.109433477654738	724	128	1.85595265728888e-05	0.000744701003737165
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus	Case_status	Case_status	0.927634387953631	0.213781065538668	724	94	1.63466778553608e-05	0.000744701003737165
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	Case_status	Case_status	-1.49710336372279	0.353046676082631	724	609	2.52067317448564e-05	0.000899040098899879
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	Case_status	Case_status	1.09502270948402	0.269823864187193	724	129	5.48436937215544e-05	0.0017604825684619
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella	Case_status	Case_status	1.48398823713453	0.38186378375969	724	543	0.000111234176072662	0.00324601550175678
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Megasphaera	Case_status	Case_status	1.22825530208917	0.320812074414721	724	141	0.000140102229222124	0.00374773463169183
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas	Case_status	Case_status	0.975836714609893	0.256882158263899	724	76	0.000157692657061145	0.00389379560897136
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces	Case_status	Case_status	1.05624964203244	0.282508748465633	724	576	0.000199560308912978	0.00457563279721899
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia	Case_status	Case_status	0.551703875613303	0.150537220548052	724	55	0.000265615123681624	0.00568416364678676
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma	Case_status	Case_status	0.969912378500597	0.271099893621441	724	363	0.000369854063975051	0.00742019715849947
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Hungatella	Case_status	Case_status	1.20520330611566	0.340691478458052	724	362	0.000429805833626568	0.00782179492076545
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Fusicatenibacter	Case_status	Case_status	-1.82684778583763	0.517217039005108	724	542	0.000438605322659745	0.00782179492076545
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	Case_status	Case_status	-1.32751738733126	0.379188350617439	724	663	0.000492187441998041	0.00794479946322693
k__Bacteria.p__Synergistetes.c__Synergistia.o__Synergistales.f__Synergistaceae.g__Cloacibacillus	Case_status	Case_status	0.937348170511391	0.267859841151554	724	158	0.000495003081820993	0.00794479946322693
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium	Case_status	Case_status	-1.11973888638809	0.32127082479408	724	620	0.000521289712989406	0.00796828561283806
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia	Case_status	Case_status	1.30679044388436	0.379491340111805	724	390	0.000607397062972781	0.00886247532792103
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Case_status	Case_status	1.33847324306242	0.397222279557774	724	661	0.000792941862684859	0.0110667103444278
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Tyzzerella	total_seqs_scaled	total_seqs_scaled	0.27312017146708	0.0820006954844487	724	94	0.000910445316673586	0.0121772061105092
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter	Case_status	Case_status	1.40790423241511	0.425352525955265	724	248	0.000979540342790466	0.0125772980014296
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	total_seqs_scaled	total_seqs_scaled	0.381672991972094	0.116021810957264	724	248	0.00105188743741948	0.0129867641312175
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella	total_seqs_scaled	total_seqs_scaled	0.233944269791954	0.0717892973558837	724	44	0.00117155818673988	0.0139285251090186
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Turicimonas	total_seqs_scaled	total_seqs_scaled	0.343327378228417	0.107512684246924	724	274	0.00146746556778117	0.0168234445449199
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium	Case_status	Case_status	1.07406560418763	0.344098573430188	724	569	0.00187196614580508	0.0207207287173597
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Acidaminococcus	Case_status	Case_status	1.53320482741981	0.493563311261838	724	209	0.00196817900719928	0.0210595153770323
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified	Case_status	Case_status	-1.41933342447974	0.470929816387472	724	598	0.00266970344992154	0.0268202181338687
k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified.o__Proteobacteria_unclassified.f__Proteobacteria_unclassified.g__Proteobacteria_unclassified	total_seqs_scaled	total_seqs_scaled	0.564495249272054	0.187325861898695	724	318	0.00267366660524548	0.0268202181338687
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Dialister	total_seqs_scaled	total_seqs_scaled	0.48724850618537	0.166588658246596	724	239	0.00355442414224505	0.0338139575227684
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Klebsiella	Case_status	Case_status	1.06165029686776	0.363272132711898	724	221	0.00358154067219354	0.0338139575227684
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Harryflintia	total_seqs_scaled	total_seqs_scaled	0.318505114699228	0.110019888250419	724	190	0.0039066250172294	0.0352178888108545
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma	total_seqs_scaled	total_seqs_scaled	0.329982689895058	0.114121809609281	724	138	0.00394966977317994	0.0352178888108545
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	total_seqs_scaled	total_seqs_scaled	0.543187844647632	0.19036051229204	724	388	0.00444862146190452	0.0385947970073338
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas	total_seqs_scaled	total_seqs_scaled	0.497245933613533	0.175219306334945	724	297	0.00466966668251676	0.0394463948707337
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium	Case_status	Case_status	0.389834293760565	0.138909175592872	724	44	0.00514524686290812	0.042349339563936
