feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	Case_status	Case_status	1.82295871227929	0.279317918238553	724	345	1.27023872324731e-10	9.79354055623675e-08
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_dentium	Case_status	Case_status	2.02876054898413	0.343568569399912	724	243	5.43509433258343e-09	2.09522886521091e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mutans	Case_status	Case_status	1.63633135016155	0.281410063392048	724	206	9.12780306826979e-09	2.34584538854534e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Clostridium_leptum	Case_status	Case_status	1.80997900835993	0.317986927021555	724	606	1.82811307775878e-08	3.52368795738006e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	Case_status	Case_status	1.12015530666275	0.202895129138035	724	707	4.71218760127618e-08	7.26619328116787e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_wexlerae	Case_status	Case_status	-1.9288660812652	0.375522993726293	724	647	3.60765712244049e-07	4.63583940233603e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_avium	Case_status	Case_status	0.816195147786606	0.168873963488419	724	54	1.64326677642646e-06	0.0001583698355781
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5	Case_status	Case_status	1.23846941596776	0.255007573121579	724	199	1.46576986156876e-06	0.0001583698355781
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_intestinalis	Case_status	Case_status	-2.22503928997238	0.485435659328483	724	464	5.38763438510221e-06	0.000461540678990423
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella.s__Eisenbergiella_tayi	Case_status	Case_status	1.42614586006161	0.315684901563124	724	366	7.30716452698833e-06	0.0005633823850308
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus.s__Lactobacillus_vaginalis	collection_method	collection_method	3.20456456191452	0.722199809314469	724	38	1.05390862855489e-05	0.000738694138741655
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus.s__Coprobacillus_cateniformis	Case_status	Case_status	0.927634387953631	0.213781065538668	724	94	1.63466778553608e-05	0.00105027405220693
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella.s__Eisenbergiella_tayi	total_seqs_scaled	total_seqs_scaled	0.624424133968623	0.147849876112802	724	366	2.71550138583559e-05	0.00161050120652249
