feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5	Case_status	Case_status	1.53430543094844	0.281217989473759	719	198	6.95506709713267e-08	5.2580307254323e-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	Case_status	Case_status	1.53089593983464	0.30140361394468	719	342	4.96958605247455e-07	0.000168168552390381
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Clostridium_leptum	Case_status	Case_status	1.77233731615269	0.353007823367927	719	603	6.67335525358657e-07	0.000168168552390381
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_bicirculans	Depression_anxiety_mood_med	Depression_anxiety_mood_med	-2.20987851537038	0.481846028146496	719	241	5.42317573277701e-06	0.00102498021349486
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_dentium	Case_status	Case_status	1.69848108342489	0.378539089813705	719	240	8.55798428490426e-06	0.00129396722387752
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia.s__Scardovia_wiggsiae	Pain_med	Pain_med	0.74792740521995	0.170777423966797	719	55	1.38789063495262e-05	0.0017487422000403
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__Collinsella_massiliensis	Pain_med	Pain_med	1.159130406421	0.282717714589451	719	353	4.66118480903662e-05	0.00359715615626315
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mutans	Case_status	Case_status	1.27861133021461	0.312232268321073	719	205	4.75814306384014e-05	0.00359715615626315
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_wexlerae	Case_status	Case_status	-1.7640947177186	0.423621937252943	719	643	3.54831658945289e-05	0.00359715615626315
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Lachnoclostridium_sp_An131	Laxatives	Laxatives	0.776860719942903	0.188347213257422	719	89	4.20030162033337e-05	0.00359715615626315
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium_prausnitzii	Depression_anxiety_mood_med	Depression_anxiety_mood_med	-1.62010090200476	0.401621573558511	719	658	6.14408477340543e-05	0.00422266189881319
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Pseudoflavonifractor.s__Pseudoflavonifractor_sp_An184	Laxatives	Laxatives	1.0313797853579	0.260389520232626	719	87	8.29973913827557e-05	0.00522883565711361
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Enorma.s__Collinsella_massiliensis	Case_status	Case_status	0.96805726889997	0.251252137358874	719	353	0.000128395233273969	0.00743998629924356
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella.s__Eisenbergiella_tayi	total_seqs_scaled	total_seqs_scaled	0.570835161696593	0.148839715692782	719	362	0.000137777524060066	0.00743998629924356
