feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	Case_status	Case_status	1.84973775185125	0.292721695653454	724	345	4.61596510302304e-10	1.93870534326968e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	Case_status	Case_status	1.28214113925239	0.210041627540098	724	707	1.69016268551709e-09	3.54934163958589e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_dentium	Case_status	Case_status	2.11831969389989	0.361659465202749	724	243	7.16535820632228e-09	1.00315014888512e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Clostridium_leptum	Case_status	Case_status	1.8251638774157	0.335626787809127	724	606	7.3897134839979e-08	7.7591991581978e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_mutans	Case_status	Case_status	1.5255973054261	0.295545873866806	724	206	3.16684909395259e-07	2.66015323892017e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_intestinalis	Case_status	Case_status	-2.57342727993692	0.511384057051016	724	464	6.1322992464316e-07	4.29260947250212e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.s__Enterococcus_avium	Case_status	Case_status	0.867213166327304	0.178719562779434	724	54	1.4972108695528e-06	8.53223771101679e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_wexlerae	Case_status	Case_status	-1.91343966752552	0.397696862388725	724	647	1.82833665236074e-06	8.53223771101679e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella.s__Eisenbergiella_tayi	Case_status	Case_status	1.59606522344814	0.330418973451143	724	366	1.66617759204046e-06	8.53223771101679e-05
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelatoclostridium.s__Clostridium_innocuum	Sex	Sex	-1.63098420174665	0.340708338851221	724	533	2.05599797953551e-06	8.63519151404916e-05
