Source,Target,Weight,Direction of correlation,Correlation P-value,PD-associated
Methanobrevibacter_smithii,Candidatus_Methanomassiliicoccus_intestinalis,0.2207,+,0.001,Yes
Methanobrevibacter_smithii,Actinomyces_europaeus,0.101,-,0.001,Yes
Methanobrevibacter_smithii,Actinomyces_massiliensis,0.0905,-,0.022,Yes
Methanobrevibacter_smithii,Actinomyces_naeslundii,0.1332,-,0.018,Yes
Methanobrevibacter_smithii,Actinomyces_oris,0.1598,+,0.007,Yes
Methanobrevibacter_smithii,Actinomyces_radicidentis,0.1177,-,0.002,Yes
Methanobrevibacter_smithii,Actinomyces_sp_oral_taxon_180,0.0504,-,0.033,Yes
Methanobrevibacter_smithii,Actinomyces_sp_oral_taxon_181,0.1323,-,0.015,Yes
Methanobrevibacter_smithii,Actinomyces_sp_S6_Spd3,0.101,-,0.007,Yes
Methanobrevibacter_smithii,Actinomyces_turicensis,0.129,-,0.001,Yes
Methanobrevibacter_smithii,Varibaculum_cambriense,0.1328,-,0.001,Yes
Methanobrevibacter_smithii,Aeriscardovia_aeriphila,0.0877,-,0.039,Yes
Methanobrevibacter_smithii,Bifidobacterium_catenulatum,0.1025,-,0.002,Yes
Methanobrevibacter_smithii,Bifidobacterium_pseudolongum,0.0975,-,0.02,Yes
Methanobrevibacter_smithii,Bifidobacterium_saeculare,0.0756,-,0.043,Yes
Methanobrevibacter_smithii,Bifidobacterium_scardovii,0.1262,-,0.008,Yes
Methanobrevibacter_smithii,Parascardovia_denticolens,0.1183,-,0.001,Yes
Methanobrevibacter_smithii,Scardovia_wiggsiae,0.0842,-,0.042,Yes
Methanobrevibacter_smithii,Corynebacterium_argentoratense,0.1303,-,0.002,Yes
Methanobrevibacter_smithii,Corynebacterium_coyleae,0.1281,-,0.001,Yes
Methanobrevibacter_smithii,Corynebacterium_durum,0.1129,-,0.003,Yes
Methanobrevibacter_smithii,Atopobium_parvulum,0.107,-,0.004,Yes
Methanobrevibacter_smithii,Atopobium_rimae,0.1167,-,0.001,Yes
Methanobrevibacter_smithii,Olsenella_profusa,0.1161,-,0.001,Yes
Methanobrevibacter_smithii,Collinsella_aerofaciens,0.2895,+,0.001,Yes
Methanobrevibacter_smithii,Collinsella_stercoris,0.2532,+,0.001,Yes
Methanobrevibacter_smithii,Collinsella_massiliensis,0.2126,+,0.001,Yes
Methanobrevibacter_smithii,Enorma_massiliensis,0.1204,+,0.042,Yes
Methanobrevibacter_smithii,Adlercreutzia_equolifaciens,0.1445,+,0.022,Yes
Methanobrevibacter_smithii,Asaccharobacter_celatus,0.1596,+,0.013,Yes
Methanobrevibacter_smithii,Denitrobacterium_detoxificans,0.1317,-,0.001,Yes
Methanobrevibacter_smithii,Eggerthella_lenta,0.3247,-,0.001,Yes
Methanobrevibacter_smithii,Gordonibacter_pamelaeae,0.2116,-,0.002,Yes
Methanobrevibacter_smithii,Slackia_isoflavoniconvertens,0.1502,+,0.013,Yes
Methanobrevibacter_smithii,Bacteroides_cellulosilyticus,0.156,+,0.012,Yes
Methanobrevibacter_smithii,Bacteroides_coprophilus,0.1053,-,0.018,Yes
Methanobrevibacter_smithii,Bacteroides_finegoldii,0.1524,+,0.013,Yes
Methanobrevibacter_smithii,Bacteroides_sartorii,0.1288,-,0.002,Yes
Methanobrevibacter_smithii,Bacteroides_sp_CAG_530,0.0954,-,0.01,Yes
Methanobrevibacter_smithii,Bacteroides_sp_D2,0.1326,-,0.005,Yes
Methanobrevibacter_smithii,Barnesiella_intestinihominis,0.2214,+,0.001,Yes
Methanobrevibacter_smithii,Barnesiella_viscericola,0.0568,-,0.04,Yes
Methanobrevibacter_smithii,Dysgonomonas_gadei,0.1186,-,0.001,Yes
Methanobrevibacter_smithii,Muribaculum_intestinale,0.1153,-,0.003,Yes
Methanobrevibacter_smithii,Butyricimonas_synergistica,0.1998,+,0.004,Yes
Methanobrevibacter_smithii,Butyricimonas_virosa,0.3012,+,0.001,Yes
Methanobrevibacter_smithii,Odoribacter_laneus,0.1315,+,0.024,Yes
Methanobrevibacter_smithii,Odoribacter_splanchnicus,0.219,+,0.002,Yes
Methanobrevibacter_smithii,Sanguibacteroides_justesenii,0.1303,-,0.001,Yes
Methanobrevibacter_smithii,Prevotella_buccae,0.1137,-,0.004,Yes
Methanobrevibacter_smithii,Prevotella_disiens,0.1041,-,0.013,Yes
Methanobrevibacter_smithii,Prevotella_sp_CAG_5226,0.1028,-,0.013,Yes
Methanobrevibacter_smithii,Prevotella_timonensis,0.0972,-,0.031,Yes
Methanobrevibacter_smithii,Alistipes_finegoldii,0.1625,+,0.009,Yes
Methanobrevibacter_smithii,Alistipes_indistinctus,0.2299,+,0.002,Yes
Methanobrevibacter_smithii,Alistipes_inops,0.2637,+,0.001,Yes
Methanobrevibacter_smithii,Alistipes_putredinis,0.2297,+,0.001,Yes
Methanobrevibacter_smithii,Alistipes_shahii,0.3747,+,0.001,Yes
Methanobrevibacter_smithii,Alistipes_sp_An31A,0.1033,-,0.002,Yes
Methanobrevibacter_smithii,Parabacteroides_distasonis,0.1491,+,0.019,Yes
Methanobrevibacter_smithii,Parabacteroides_goldsteinii,0.2288,+,0.001,Yes
Methanobrevibacter_smithii,Parabacteroides_gordonii,0.1343,-,0.01,Yes
Methanobrevibacter_smithii,Parabacteroides_merdae,0.1858,+,0.004,Yes
Methanobrevibacter_smithii,Parabacteroides_sp_426_9,0.1085,-,0.002,Yes
Methanobrevibacter_smithii,Bacillus_coagulans,0.1027,-,0.002,Yes
Methanobrevibacter_smithii,Bacillus_horneckiae,0.059,-,0.036,Yes
Methanobrevibacter_smithii,Staphylococcus_aureus,0.1007,-,0.002,Yes
Methanobrevibacter_smithii,Granulicatella_elegans,0.1311,-,0.001,Yes
Methanobrevibacter_smithii,Enterococcus_avium,0.1195,-,0.008,Yes
Methanobrevibacter_smithii,Enterococcus_casseliflavus,0.0774,-,0.01,Yes
Methanobrevibacter_smithii,Enterococcus_gallinarum,0.0814,-,0.023,Yes
Methanobrevibacter_smithii,Enterococcus_raffinosus,0.1007,-,0.004,Yes
Methanobrevibacter_smithii,Lactobacillus_acidophilus,0.1063,-,0.005,Yes
Methanobrevibacter_smithii,Lactobacillus_algidus,0.0798,-,0.026,Yes
Methanobrevibacter_smithii,Lactobacillus_amylovorus,0.1155,-,0.006,Yes
Methanobrevibacter_smithii,Lactobacillus_farciminis,0.069,-,0.006,Yes
Methanobrevibacter_smithii,Lactobacillus_fuchuensis,0.0978,-,0.001,Yes
Methanobrevibacter_smithii,Lactobacillus_helveticus,0.1002,-,0.005,Yes
Methanobrevibacter_smithii,Lactobacillus_kalixensis,0.1106,-,0.003,Yes
Methanobrevibacter_smithii,Lactobacillus_pentosus,0.1037,-,0.005,Yes
Methanobrevibacter_smithii,Pediococcus_acidilactici,0.1258,-,0.006,Yes
Methanobrevibacter_smithii,Pediococcus_argentinicus,0.0665,-,0.01,Yes
Methanobrevibacter_smithii,Leuconostoc_carnosum,0.1197,-,0.002,Yes
Methanobrevibacter_smithii,Leuconostoc_mesenteroides,0.1117,-,0.016,Yes
Methanobrevibacter_smithii,Streptococcus_cristatus,0.0968,-,0.023,Yes
Methanobrevibacter_smithii,Streptococcus_downei,0.1078,-,0.003,Yes
Methanobrevibacter_smithii,Streptococcus_gordonii,0.1516,+,0.015,Yes
Methanobrevibacter_smithii,Streptococcus_infantarius,0.1215,-,0.001,Yes
Methanobrevibacter_smithii,Streptococcus_sobrinus,0.0538,-,0.048,Yes
Methanobrevibacter_smithii,Streptococcus_sp_HMSC071D03,0.1232,-,0.001,Yes
Methanobrevibacter_smithii,Streptococcus_sp_HPH0090,0.1106,-,0.002,Yes
Methanobrevibacter_smithii,Streptococcus_viridans,0.1231,-,0.002,Yes
Methanobrevibacter_smithii,Butyricicoccus_porcorum,0.1118,-,0.001,Yes
Methanobrevibacter_smithii,Butyricicoccus_pullicaecorum,0.1805,-,0.002,Yes
Methanobrevibacter_smithii,Clostridium_butyricum,0.1161,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_cadaveris,0.1055,-,0.003,Yes
Methanobrevibacter_smithii,Clostridium_celatum,0.1079,-,0.002,Yes
Methanobrevibacter_smithii,Clostridium_paraputrificum,0.0844,-,0.044,Yes
Methanobrevibacter_smithii,Clostridium_sp_chh4_2,0.1652,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_ventriculi,0.1093,-,0.008,Yes
Methanobrevibacter_smithii,Hungatella_hathewayi,0.3262,-,0.001,Yes
Methanobrevibacter_smithii,Lactonifactor_longoviformis,0.1686,-,0.005,Yes
Methanobrevibacter_smithii,Mogibacterium_timidum,0.0752,-,0.009,Yes
Methanobrevibacter_smithii,Bacteroides_pectinophilus,0.1182,-,0.005,Yes
Methanobrevibacter_smithii,Clostridiales_bacterium_1_7_47FAA,0.1474,-,0.015,Yes
Methanobrevibacter_smithii,Clostridiales_bacterium_CHKCI001,0.1198,-,0.001,Yes
Methanobrevibacter_smithii,Clostridiales_bacterium_CHKCI006,0.0557,-,0.04,Yes
Methanobrevibacter_smithii,Eubacterium_dolichum_CAG_375,0.1745,-,0.005,Yes
Methanobrevibacter_smithii,Eubacterium_eligens,0.2903,+,0.001,Yes
Methanobrevibacter_smithii,Eubacterium_hallii,0.1581,+,0.017,Yes
Methanobrevibacter_smithii,Eubacterium_ramulus,0.1547,+,0.012,Yes
Methanobrevibacter_smithii,Eubacterium_sp_CAG_180,0.1547,+,0.014,Yes
Methanobrevibacter_smithii,Eubacterium_sp_CAG_38,0.2105,+,0.001,Yes
Methanobrevibacter_smithii,Eubacterium_ventriosum,0.1258,+,0.034,Yes
Methanobrevibacter_smithii,Pseudoramibacter_alactolyticus,0.1245,-,0.002,Yes
Methanobrevibacter_smithii,Anaerosporobacter_mobilis,0.1093,-,0.002,Yes
Methanobrevibacter_smithii,Anaerostipes_caccae,0.2099,-,0.002,Yes
Methanobrevibacter_smithii,Anaerostipes_sp_494a,0.1127,-,0.006,Yes
Methanobrevibacter_smithii,Anaerotignum_lactatifermentans,0.2166,-,0.001,Yes
Methanobrevibacter_smithii,Blautia_coccoides,0.1437,-,0.028,Yes
Methanobrevibacter_smithii,Blautia_hansenii,0.3122,-,0.001,Yes
Methanobrevibacter_smithii,Blautia_hydrogenotrophica,0.1483,-,0.016,Yes
Methanobrevibacter_smithii,Blautia_obeum,0.2625,+,0.001,Yes
Methanobrevibacter_smithii,Blautia_producta,0.2569,-,0.001,Yes
Methanobrevibacter_smithii,Blautia_sp_CAG_257,0.3996,-,0.001,Yes
Methanobrevibacter_smithii,Blautia_sp_N6H1_15,0.1539,-,0.014,Yes
Methanobrevibacter_smithii,Ruminococcus_gnavus,0.4049,-,0.001,Yes
Methanobrevibacter_smithii,Ruminococcus_torques,0.267,+,0.001,Yes
Methanobrevibacter_smithii,Butyrivibrio_crossotus,0.1521,+,0.001,Yes
Methanobrevibacter_smithii,Coprococcus_catus,0.2527,+,0.001,Yes
Methanobrevibacter_smithii,Coprococcus_comes,0.1809,+,0.005,Yes
Methanobrevibacter_smithii,Dorea_formicigenerans,0.2073,+,0.001,Yes
Methanobrevibacter_smithii,Dorea_longicatena,0.208,+,0.001,Yes
Methanobrevibacter_smithii,Dorea_sp_CAG_317,0.1523,-,0.022,Yes
Methanobrevibacter_smithii,Dorea_sp_D27,0.1325,-,0.001,Yes
Methanobrevibacter_smithii,Eisenbergiella_massiliensis,0.2478,-,0.001,Yes
Methanobrevibacter_smithii,Faecalicatena_orotica,0.1511,-,0.004,Yes
Methanobrevibacter_smithii,Clostridium_aldenense,0.2484,-,0.002,Yes
Methanobrevibacter_smithii,Clostridium_asparagiforme,0.1864,-,0.002,Yes
Methanobrevibacter_smithii,Clostridium_bolteae,0.2907,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_citroniae,0.3401,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_clostridioforme,0.3235,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_lavalense,0.2071,-,0.002,Yes
Methanobrevibacter_smithii,Clostridium_saccharolyticum,0.1762,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_scindens,0.2113,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_symbiosum,0.3118,-,0.001,Yes
Methanobrevibacter_smithii,Eubacterium_rectale,0.1345,+,0.041,Yes
Methanobrevibacter_smithii,Lachnospiraceae_bacterium_2_1_46FAA,0.116,-,0.012,Yes
Methanobrevibacter_smithii,Lachnospiraceae_bacterium_oral_taxon_096,0.1053,-,0.006,Yes
Methanobrevibacter_smithii,Murimonas_intestini,0.1235,-,0.021,Yes
Methanobrevibacter_smithii,Robinsoniella_sp_RHS,0.1044,-,0.009,Yes
Methanobrevibacter_smithii,Sellimonas_intestinalis,0.1666,-,0.005,Yes
Methanobrevibacter_smithii,Oscillibacter_sp_57_20,0.3797,+,0.001,Yes
Methanobrevibacter_smithii,Oscillibacter_sp_CAG_241,0.3622,+,0.001,Yes
Methanobrevibacter_smithii,Peptococcus_niger,0.1212,-,0.004,Yes
Methanobrevibacter_smithii,Clostridioides_difficile,0.1063,-,0.003,Yes
Methanobrevibacter_smithii,Intestinibacter_bartlettii,0.2026,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_hiranonis,0.1293,-,0.005,Yes
Methanobrevibacter_smithii,Peptostreptococcus_anaerobius,0.1248,-,0.006,Yes
Methanobrevibacter_smithii,Peptostreptococcus_stomatis,0.0771,-,0.022,Yes
Methanobrevibacter_smithii,Anaerotruncus_colihominis,0.1818,-,0.003,Yes
Methanobrevibacter_smithii,Flavonifractor_plautii,0.4579,-,0.001,Yes
Methanobrevibacter_smithii,Gemmiger_formicilis,0.296,+,0.001,Yes
Methanobrevibacter_smithii,Gemmiger_sp_An120,0.1217,-,0.001,Yes
Methanobrevibacter_smithii,Harryflintia_acetispora,0.1802,+,0.002,Yes
Methanobrevibacter_smithii,Eubacterium_siraeum,0.2508,+,0.001,Yes
Methanobrevibacter_smithii,Ruminococcaceae_bacterium_D5,0.3106,+,0.001,Yes
Methanobrevibacter_smithii,Ruminococcus_bromii,0.2635,+,0.001,Yes
Methanobrevibacter_smithii,Ruminococcus_lactaris,0.1363,+,0.035,Yes
Methanobrevibacter_smithii,Ruthenibacterium_lactatiformans,0.1192,-,0.042,Yes
Methanobrevibacter_smithii,Absiella_dolichum,0.1565,-,0.011,Yes
Methanobrevibacter_smithii,Candidatus_Stoquefichus_sp_KLE1796,0.1819,-,0.003,Yes
Methanobrevibacter_smithii,Catenibacterium_mitsuokai,0.2172,+,0.001,Yes
Methanobrevibacter_smithii,Coprobacillus_cateniformis,0.1029,-,0.04,Yes
Methanobrevibacter_smithii,Dielma_fastidiosa,0.1221,-,0.044,Yes
Methanobrevibacter_smithii,Clostridium_innocuum,0.2723,-,0.001,Yes
Methanobrevibacter_smithii,Clostridium_spiroforme,0.1572,-,0.011,Yes
Methanobrevibacter_smithii,Erysipelatoclostridium_ramosum,0.2959,-,0.001,Yes
Methanobrevibacter_smithii,Erysipelothrix_larvae,0.1237,-,0.007,Yes
Methanobrevibacter_smithii,Faecalitalea_cylindroides,0.1906,+,0.005,Yes
Methanobrevibacter_smithii,Holdemanella_biformis,0.1958,+,0.002,Yes
Methanobrevibacter_smithii,Holdemania_filiformis,0.2047,-,0.001,Yes
Methanobrevibacter_smithii,Massiliomicrobiota_timonensis,0.0964,-,0.039,Yes
Methanobrevibacter_smithii,Firmicutes_bacterium_CAG_110,0.3596,+,0.001,Yes
Methanobrevibacter_smithii,Firmicutes_bacterium_CAG_238,0.0569,-,0.041,Yes
Methanobrevibacter_smithii,Firmicutes_bacterium_CAG_424,0.2163,-,0.003,Yes
Methanobrevibacter_smithii,Firmicutes_bacterium_CAG_646,0.1368,-,0.013,Yes
Methanobrevibacter_smithii,Firmicutes_bacterium_CAG_83,0.1611,+,0.017,Yes
Methanobrevibacter_smithii,Firmicutes_bacterium_CAG_94,0.3081,+,0.001,Yes
Methanobrevibacter_smithii,Firmicutes_bacterium_CAG_95,0.2348,+,0.001,Yes
Methanobrevibacter_smithii,Phascolarctobacterium_succinatutens,0.1486,+,0.012,Yes
Methanobrevibacter_smithii,Megamonas_funiformis,0.1203,-,0.015,Yes
Methanobrevibacter_smithii,Megamonas_funiformis_CAG_377,0.1127,-,0.019,Yes
Methanobrevibacter_smithii,Megamonas_hypermegale,0.1229,-,0.013,Yes
Methanobrevibacter_smithii,Mitsuokella_multacida,0.0617,-,0.015,Yes
Methanobrevibacter_smithii,Anaeroglobus_geminatus,0.122,-,0.009,Yes
Methanobrevibacter_smithii,Dialister_invisus,0.126,-,0.042,Yes
Methanobrevibacter_smithii,Megasphaera_micronuciformis,0.1145,-,0.002,Yes
Methanobrevibacter_smithii,Megasphaera_stantonii,0.1134,-,0.002,Yes
Methanobrevibacter_smithii,Veillonella_infantium,0.1106,-,0.047,Yes
Methanobrevibacter_smithii,Veillonella_parvula,0.1318,-,0.031,Yes
Methanobrevibacter_smithii,Veillonella_seminalis,0.102,-,0.026,Yes
Methanobrevibacter_smithii,Veillonella_sp_CAG_933,0.1082,-,0.012,Yes
Methanobrevibacter_smithii,Veillonella_sp_T11011_6,0.1001,-,0.01,Yes
Methanobrevibacter_smithii,Veillonella_tobetsuensis,0.0979,-,0.008,Yes
Methanobrevibacter_smithii,Parvimonas_micra,0.0572,-,0.037,Yes
Methanobrevibacter_smithii,Peptoniphilus_harei,0.083,-,0.002,Yes
Methanobrevibacter_smithii,Fusobacterium_mortiferum,0.1236,-,0.005,Yes
Methanobrevibacter_smithii,Fusobacterium_nucleatum,0.1074,-,0.004,Yes
Methanobrevibacter_smithii,Fusobacterium_varium,0.1168,-,0.008,Yes
Methanobrevibacter_smithii,Oligella_urethralis,0.1187,-,0.001,Yes
Methanobrevibacter_smithii,Lautropia_mirabilis,0.1085,-,0.002,Yes
Methanobrevibacter_smithii,Comamonas_kerstersii,0.112,-,0.001,Yes
Methanobrevibacter_smithii,Sutterella_parvirubra,0.1706,-,0.003,Yes
Methanobrevibacter_smithii,Campylobacter_concisus,0.1091,-,0.003,Yes
Methanobrevibacter_smithii,Campylobacter_gracilis,0.1397,-,0.005,Yes
Methanobrevibacter_smithii,Aeromonas_allosaccharophila,0.1235,-,0.001,Yes
Methanobrevibacter_smithii,Aeromonas_veronii,0.1038,-,0.008,Yes
Methanobrevibacter_smithii,Anaerobiospirillum_thomasii,0.0643,-,0.024,Yes
