OTU_id	DC001	DC003	DC004	DC005	DC006	DC007	DC009	DC010	DC011	DC013	DC015	DC016	DC017	DC018	DC019	DC020	DC021	DC022	DC023	DC024	DC026	DC027	DC029	DC032	DC033	DC034	DC035	DC036	DC037	DC038	DC039	DC041	DC042	DC044	DC048	DC049	DC050	DC052	DC054	DC056	DC057	DC058	DC060	DC061	DC063	DC064	DC065	DC066	DC067	DC068	DC069	DC070	DC071	DC072	DC073	DC075	DC076	DC077	DC078	DC079	DC081	DC082	DC083	DC085	DC087	DC090	DC092	DC094	DC095	DC096	DC097	DC098	DC099	DC100	DC101	DC102	DC103	DC104	DC105	DC106	DC107	DC108	DC109	DC110	DC111	DC112	DC113	DC114	DC115	DC117	DC118	DC119	DC120	DC121	DC123	DC125	DC126	DC127	DC128	DC131	DC135	DC136	DC137	DC138	DC139	DC140	DC141	DC145	DC147	DC148	DC149	DC150	DC151	DC152	DC153	DC154	DC155	DC156	DC158	DC159	DC160	DC161	DC162	DC163	DC164	DC165	DC167	DC168	DC169	DC170	DC171	DC172	DC173	DC174	DC175	DC176	DC177	DC178	DC179	DC181	DC183	DC185	DC186	DC187	DC188	DC189	DC193	DC194	DC195	DC196	DC198	DC199	DC200	DC201	DC202	DC203	DC204	DC205	DC206	DC208	DC209	DC211	DC212	DC213	DC214	DC215	DC216	DC217	DC218	DC219	DC221	DC223	DC224	DC226	DC229	DC230	DC231	DC232	DC234	DC235	DC239	DC241	DC243	DC244	DC245	DC246	DC247	DC248	DC249	DC252	DC253	DC254	DC255	DC257	DC259	DC261	DC263	DC265	DC266	DC267	DC268	DC269	DC270	DC271	DC273	DC274	DC276	DC277	DC279	DC281	DC282	DC283	DC285	DC287	DC288	DC290	DC291	DC292	DC293	DC294	DC296	DC297	DC298	DC300	DC302	DC305	DC307	DC308	DC310	DC312	DC313	DC314	DC317	DC318
Methanobrevibacter_smithii	290.044633	0	0	20138.138633	0	1132463.697695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161976.391731	0	0	12224.833787	0	0	0	0	0	0	13651.223317	0	0	0	0	0	0	0	18085.90465	73275.741006	117196.26239	0	0	0	0	0	0	292384.228779	0	0	0	0	0	16578.007667	0	0	0	0	26732.134402	0	0	0	0	0	0	0	0	44857.649	0	0	0	0	0	0	0	23439.679222	0	0	0	0	0	0	0	0	0	18008.657052	0	30357.052433	0	63084.426186	73350.599386	0	135372.759643	0	0	87586.223633	1026.124637	0	0	0	0	0	0	47704.561519	0	0	0	0	0	0	0	26004.81906	0	55788.329245	0	64780.948838	0	0	0	0	155407.133645	0	28877.482503	0	0	0	0	0	244691.273631	0	0	0	0	0	0	0	0	1531.781013	0	0	191435.926609	0	0	0	217240.252556	431146.352748	168322.919584	0	0	2026628.401066	0	25166.426983	0	0	237795.335938	86684.275692	0	0	0	0	0	79394.066819	0	0	0	0	156463.740946	10294.432064	216211.111992	21479.022694	0	0	0	0	0	0	0	0	41951.032656	0	0	0	5674.491787	594950.533223	30993.552342	88624.073177	59564.460892	0	0	9677.571823	0	0	0	0	307284.710874	0	0	45027.787639	0	0	0	0	0	0	0	0	0	74495.981219	646070.574423	141002.182518	404179.165476	0	0	0	0	0	831197.36663	0	32386.673738	0	24454.28741	0	0	0	78.629688	54581.435257	0	0	0	36256.124177	0	146238.199336	2339.369991
Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15403.33206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16595.769538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302.401044	0	0	0	0	0	0	0	0	16351.827528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13088.625274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47195.5551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31687.541058	0	0	0	0
Candidatus_Methanomassiliicoccus_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32718.791111	0	0	0	0	0	20038.530492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7147.140255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47189.099245	0	0	0	0	111739.258968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181868.193543	0	1984.336908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25538.51116	0	5943.82175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculum_sp_oral_taxon_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512.748305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734.725328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4574.508012	0	0	0	0	0	0	0	0	0	0	0	0	0	3311.702258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_europaeus	0	0	592.518816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	51.642049	0	0	0	0	0	0	0	0	4882.101871	7727.871828	0	0	378.296781	0	970.641309	0	0	0	0	2362.560162	1009.723517	0	0	1351.852571	0	0	0	0	0	0	0	201.578974	0	257.964916	0	0	0	0	804.570808	0	9891.042798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3529.605262	0	0	0	0	0	0	0	0	0	7432.857133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240.28109	0	0	0	0	0	0	0	0	0	2488.543398	0	2449.185727	0	0	0	0	0	2498.893514	8699.314326	1827.068625	0	0	0	0	0	0	0	0	0	0	0	0	3271.721699	457.374368	0	14257.077952	0	1698.264501	1209.881135	1360.446721	2017.228906	22947.172385	0	0	0	0	0	5085.267937	486.15193	949.837945	18646.762024	0	0	0	0	0	2398.026415	0	0	0	0	0	0	381.990924	291.166937	0	0	0	0	0	7100.130595	0	0	0	0	0	3057.05965	0	1491.340609	0	0	0	7936.52786	315.295515	0	0	0	0	0	0	0	0	0	6957.139248	0	0	0	0	0	3243.192249	0	26920.449789	5935.201643	0	0	0	97.629792	0	0	0	0	0	15640.157245	0	423.937789	0	1826.075313	0	691.466058	0	2932.517338	0	0	0	0	0	4808.598952	30350.412044	0	26938.172882	0
Actinomyces_johnsonii	0	0	0	0	0	2123.406944	0	0	0	1685.649442	0	0	329.805322	0	0	0	0	0	0	0	0	0	0	0	0	0	4400.107569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343.563875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515.709886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2355.152158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8066.021317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943.754659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680.456606	0	0	0	0	0	0	0	0	385.995964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443.887602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2146.496688	0
Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	1255.299035	0	0	0	0	0	0	0	0	0	0	543.505998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290.92172	1143.69691	0	0	0	0	0	4494.682731	0	0	0	0	0	0	0	0	2799.062759	0	0	0	1031.49651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4835.184526	0	0	0	0	0	0	0	0	908.844148	0	0	0	0	0	0	74.361213	0	0	2629.533179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1416.888116	0	0	0	0	0	0	0	0	0	0	0	523.883385	0	0	0	0	0	0	0	3931.32326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1750.131648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4427.955893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1426.35246	0	228.775277	0	0	1014.585779	0	0	0	0	0	0
Actinomyces_odontolyticus	0	0	4171.7669	2055.131121	0	2758.388444	777.687028	0	1461.110829	1216.898537	0	6237.549457	0	0	0	0	0	0	5858.851117	49.857238	0	0	0	0	124.264179	720.983783	1118.72016	0	0	0	814.891721	128.537892	0	5367.167706	0	4126.06744	618.778267	0	1712.480384	461.843366	0	2220.290144	3360.588387	0	0	0	1698.417872	0	0	130.385752	0	5967.544968	0	2129.896322	0	75.017928	8203.919811	0	0	457.805588	2928.051819	0	0	5106.526954	210.693325	0	3661.122764	1931.390304	0	0	0	0	0	0	0	2039.54898	527.647957	201.511808	0	0	0	523.756526	0	312.486349	0	2042.266205	0	0	0	213.312849	3552.39589	0	0	0	0	0	0	0	0	2075.010961	0	284.160807	0	0	1325.583376	0	1277.938741	0	0	0	0	0	981.55035	0	2762.269339	668.109977	0	0	0	2091.903988	3972.556059	0	2018.14038	660.355362	530.658599	0	0	305.707209	0	0	3679.222566	0	1522.369903	5368.563043	0	1290.373698	2480.233364	0	3255.47081	0	5957.999768	4024.169861	4590.931223	1466.472329	24829.931245	1338.308866	122.06021	0	1583.404733	0	2289.116212	0	16831.812946	167.041332	0	0	8626.730162	0	0	0	107.29276	0	247.946149	2500.593638	685.93338	3083.144954	21911.423835	2381.210064	46.514675	2280.422835	2909.201833	4206.619464	986.473351	7717.822031	0	0	0	0	1594.587359	2510.268494	483.237357	0	1998.101927	2665.868625	7076.739769	7177.367366	3589.740675	1085.158866	0	45.255128	211.718226	0	0	0	360.60167	0	2218.910948	0	368.045905	0	0	0	2191.584953	2201.286601	0	478.92117	537.034326	0	0	1269.1873	0	0	0	0	0	1715.661702	742.085284	11733.101749	0	2298.078406	0	0	466.146499	16668.735372	103.227869	8843.21891	569.939638	25747.378848	0	7133.658723	4274.918036	1387.637961	0	536.199892
