Id,Label,PD-associated,Degree in PD,Cluster in PD,Degree in NHC,Cluster in NHC
Abiotrophia_defectiva,Abiotrophia_defectiva,Not_tested,0,none,0,none
Absiella_dolichum,Absiella_dolichum,No,3,10,10,8
Acidaminococcus_fermentans,Acidaminococcus_fermentans,Not_tested,0,none,0,none
Acidaminococcus_intestini,Acidaminococcus_intestini,Yes_Increased,6,11,1,7
Acidaminococcus_sp_CAG_542,Acidaminococcus_sp_CAG_542,Not_tested,0,none,0,none
Acidipropionibacterium_acidipropionici,Acidipropionibacterium_acidipropionici,Not_tested,0,none,0,none
Actinobaculum_massiliense,Actinobaculum_massiliense,Not_tested,0,none,0,none
Actinobaculum_sp_oral_taxon_183,Actinobaculum_sp_oral_taxon_183,Not_tested,0,none,1,17
Actinomyces_cardiffensis,Actinomyces_cardiffensis,Not_tested,0,none,0,none
Actinomyces_europaeus,Actinomyces_europaeus,Not_tested,3,24,0,none
Actinomyces_graevenitzii,Actinomyces_graevenitzii,No,3,2,3,3
Actinomyces_johnsonii,Actinomyces_johnsonii,No,1,2,1,3
Actinomyces_massiliensis,Actinomyces_massiliensis,Not_tested,1,14,4,19
Actinomyces_naeslundii,Actinomyces_naeslundii,Yes_Increased,4,2,3,3
Actinomyces_odontolyticus,Actinomyces_odontolyticus,No,13,2,12,3
Actinomyces_oris,Actinomyces_oris,Yes_Increased,16,2,19,3
Actinomyces_radicidentis,Actinomyces_radicidentis,Not_tested,0,none,0,none
Actinomyces_sp_HMSC035G02,Actinomyces_sp_HMSC035G02,No,11,2,8,3
Actinomyces_sp_HPA0247,Actinomyces_sp_HPA0247,Yes_Increased,3,2,1,3
Actinomyces_sp_ICM47,Actinomyces_sp_ICM47,Yes_Decreased,3,2,5,3
Actinomyces_sp_oral_taxon_170,Actinomyces_sp_oral_taxon_170,Not_tested,0,none,2,2
Actinomyces_sp_oral_taxon_180,Actinomyces_sp_oral_taxon_180,Not_tested,2,15,0,none
Actinomyces_sp_oral_taxon_181,Actinomyces_sp_oral_taxon_181,No,3,2,1,15
Actinomyces_sp_oral_taxon_414,Actinomyces_sp_oral_taxon_414,Not_tested,0,none,0,none
Actinomyces_sp_oral_taxon_448,Actinomyces_sp_oral_taxon_448,Yes_Increased,3,2,6,3
Actinomyces_sp_oral_taxon_897,Actinomyces_sp_oral_taxon_897,Not_tested,0,none,0,none
Actinomyces_sp_S6_Spd3,Actinomyces_sp_S6_Spd3,Not_tested,0,none,1,3
Actinomyces_turicensis,Actinomyces_turicensis,Not_tested,8,17,2,19
Actinomyces_viscosus,Actinomyces_viscosus,Not_tested,0,none,3,3
Actinotignum_timonense,Actinotignum_timonense,Not_tested,0,none,0,none
Adlercreutzia_equolifaciens,Adlercreutzia_equolifaciens,No,31,13,23,2
Aeriscardovia_aeriphila,Aeriscardovia_aeriphila,Not_tested,5,8,5,17
Aeromonas_allosaccharophila,Aeromonas_allosaccharophila,Not_tested,0,none,4,14
Aeromonas_caviae,Aeromonas_caviae,Not_tested,0,none,0,none
Aeromonas_media,Aeromonas_media,Not_tested,0,none,0,none
Aeromonas_veronii,Aeromonas_veronii,Not_tested,0,none,6,14
Agathobaculum_butyriciproducens,Agathobaculum_butyriciproducens,No,39,13,45,8
Aggregatibacter_segnis,Aggregatibacter_segnis,Not_tested,0,none,0,none
Akkermansia_muciniphila,Akkermansia_muciniphila,No,1,10,14,3
Alistipes_finegoldii,Alistipes_finegoldii,Yes_Increased,19,13,16,2
Alistipes_indistinctus,Alistipes_indistinctus,Yes_Increased,15,10,17,2
Alistipes_inops,Alistipes_inops,No,4,10,16,14
Alistipes_onderdonkii,Alistipes_onderdonkii,No,0,none,1,1
Alistipes_putredinis,Alistipes_putredinis,No,12,10,54,2
Alistipes_shahii,Alistipes_shahii,No,42,10,51,2
Alistipes_sp_An31A,Alistipes_sp_An31A,Not_tested,0,none,0,none
Alistipes_sp_An66,Alistipes_sp_An66,Not_tested,0,none,1,6
Alistipes_sp_CAG_831,Alistipes_sp_CAG_831,Not_tested,0,none,2,6
Alistipes_timonensis,Alistipes_timonensis,No,0,none,1,14
Allisonella_histaminiformans,Allisonella_histaminiformans,No,2,3,3,15
Alloscardovia_omnicolens,Alloscardovia_omnicolens,No,0,none,2,7
Anaerobiospirillum_thomasii,Anaerobiospirillum_thomasii,Not_tested,0,none,0,none
Anaerococcus_hydrogenalis,Anaerococcus_hydrogenalis,Not_tested,0,none,0,none
Anaerococcus_lactolyticus,Anaerococcus_lactolyticus,Not_tested,0,none,0,none
Anaerococcus_nagyae,Anaerococcus_nagyae,Not_tested,0,none,0,none
Anaerococcus_octavius,Anaerococcus_octavius,Not_tested,4,17,0,none
