feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7039..phosphatidate.metabolism..as.a.signaling.molecule	collection_method	collection_method	3.37289470478648	0.463041598563012	724	50	8.51183621382798e-13	1.0392952017084e-09
PWY.7198..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.IV	Case_status	Case_status	0.488377658743937	0.0731890576234679	724	723	5.00774716037884e-11	3.05722964141128e-08
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.	Case_status	Case_status	-0.151877890272179	0.0231639666016032	724	724	1.04990668877765e-10	4.27312022332504e-08
PWY.5667..CDP.diacylglycerol.biosynthesis.I	Case_status	Case_status	-0.162016784861066	0.0255323756554061	724	724	3.91820810293983e-10	9.56826418737908e-08
PWY0.1319..CDP.diacylglycerol.biosynthesis.II	Case_status	Case_status	-0.162051037705594	0.0255344515786048	724	724	3.89835859915601e-10	9.56826418737908e-08
PWY66.422	Case_status	Case_status	-0.244029085328534	0.0397519006198305	724	724	1.37327135208297e-09	2.79460720148884e-07
PWY.6527..stachyose.degradation	Case_status	Case_status	-0.262072272830957	0.0438937340020659	724	724	3.71105179312645e-09	6.47313462772486e-07
PWY.6317..D.galactose.degradation.I..Leloir.pathway.	Case_status	Case_status	-0.21573173610283	0.0364338712074749	724	724	4.94771763906968e-09	7.5514540466301e-07
PWY.7323..superpathway.of.GDP.mannose.derived.O.antigen.building.blocks.biosynthesis	Case_status	Case_status	-0.287984045232608	0.0489572704148694	724	724	6.19330081852482e-09	8.40224477713201e-07
PWY.6168..flavin.biosynthesis.III..fungi.	Case_status	Case_status	-0.185329013561354	0.0317867004449549	724	724	8.34736072065316e-09	1.01921274399175e-06
METH.ACETATE.PWY..methanogenesis.from.acetate	Case_status	Case_status	-0.591797030330312	0.103550195957178	724	716	1.60587803905314e-08	1.78252462334899e-06
PWY.7237..myo...chiro..and.scyllo.inositol.degradation	Case_status	Case_status	-0.31199418306047	0.0548028444711424	724	712	1.81751511280326e-08	1.84932162727731e-06
PWY.6863..pyruvate.fermentation.to.hexanol..engineered.	Case_status	Case_status	-0.573269540212155	0.101338501493571	724	716	2.22341587441731e-08	2.08830060204887e-06
RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	Case_status	Case_status	-0.147377579473028	0.0273933445282905	724	724	1.00796244491477e-07	8.79087246600671e-06
URSIN.PWY..ureide.biosynthesis	collection_method	collection_method	3.76146472921912	0.701470648340016	724	92	1.10828960470968e-07	9.02147738233682e-06
PWY.4981..L.proline.biosynthesis.II..from.arginine.	Case_status	Case_status	0.458292165609758	0.085864624689632	724	724	1.26490850611808e-07	9.65283303731362e-06
PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria.	Case_status	Case_status	-0.120586598452817	0.0228586216654679	724	724	1.75496964291428e-07	1.26048113764608e-05
PWY66.389..phytol.degradation	Case_status	Case_status	1.84635043952776	0.354975270142102	724	467	2.58169252290978e-07	1.75124809470714e-05
PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis	Case_status	Case_status	0.474451526396918	0.0914323457646854	724	719	2.75085539826613e-07	1.76778654804365e-05
PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.	Case_status	Case_status	-0.157583553562363	0.0304730987283454	724	724	3.01691124723699e-07	1.84182431643818e-05
PWY.6897..thiamine.diphosphate.salvage.II	Case_status	Case_status	-0.134549823004065	0.0260769609217556	724	724	3.20142070919525e-07	1.86139746948924e-05
PWY66.388..ceramide.degradation.by..alpha..oxidation	collection_method	collection_method	6.30908384928699	1.24255104118523	724	102	4.87443357389112e-07	2.70531063350957e-05
PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis	Case_status	Case_status	0.966838702609977	0.192015003867925	724	673	6.03804766834938e-07	3.20541574045852e-05
PWY.5464..superpathway.of.cytosolic.glycolysis..plants...pyruvate.dehydrogenase.and.TCA.cycle	Case_status	Case_status	0.852675581360593	0.17284759306906	724	564	1.00592901068672e-06	5.11766384186869e-05
PANTO.PWY..phosphopantothenate.biosynthesis.I	Case_status	Case_status	-0.120652025092211	0.0246586875419879	724	724	1.22688951402504e-06	5.9921283864983e-05
P161.PWY..acetylene.degradation..anaerobic.	Case_status	Case_status	0.684865107116709	0.141585571027842	724	708	1.61197203060921e-06	7.28969573842165e-05
PWY66.399..gluconeogenesis.III	Case_status	Case_status	0.269073296099549	0.0555652634043649	724	722	1.5703987615161e-06	7.28969573842165e-05
PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.	Case_status	Case_status	0.638535422219349	0.134191878580596	724	708	2.35896210840779e-06	0.000102867597655925
PWY.2723..trehalose.degradation.V	Case_status	Case_status	1.07403789399399	0.226140320649805	724	644	2.46240105017475e-06	0.000103675575250461
GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	Case_status	Case_status	1.02911487715872	0.219611419491752	724	654	3.33048088234797e-06	0.000135550571911562
THISYNARA.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.III..eukaryotes.	Case_status	Case_status	-0.173176611034551	0.0370305472147688	724	724	3.48342418199218e-06	0.000137201965361692
PWY.5659..GDP.mannose.biosynthesis	Case_status	Case_status	-0.175425652654429	0.0378186466456195	724	724	4.16643928855873e-06	0.000156697154640058
PWY66.367..ketogenesis	total_seqs_scaled	total_seqs_scaled	0.387725757760196	0.083649507575795	724	333	4.23505823351507e-06	0.000156697154640058
COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	Case_status	Case_status	-0.197519975832065	0.0428967295711875	724	724	4.88665684460728e-06	0.000173732591726748
P125.PWY..superpathway.of..R.R..butanediol.biosynthesis	Case_status	Case_status	1.2217507096122	0.265919163933836	724	533	5.12233685680829e-06	0.000173732591726748
PWY.7209..superpathway.of.pyrimidine.ribonucleosides.degradation	Case_status	Case_status	1.33592352949312	0.290441717034129	724	472	5.00009284628533e-06	0.000173732591726748
GLYCOCAT.PWY..glycogen.degradation.I	Case_status	Case_status	0.998977586753537	0.217854800221184	724	644	5.33956434337224e-06	0.000176205623331284
PWY.6731..starch.degradation.III	Case_status	Case_status	0.969432329309222	0.211709074854146	724	644	5.50185233809427e-06	0.00017678320275824
PWY.2941..L.lysine.biosynthesis.II	Case_status	Case_status	0.264831341478003	0.0582960578562326	724	724	6.50575636506727e-06	0.000203680218506337
PWY.6396..superpathway.of.2.3.butanediol.biosynthesis	Case_status	Case_status	0.728076387246937	0.161005221357707	724	161	7.15959288995913e-06	0.000218546572966003
P42.PWY..incomplete.reductive.TCA.cycle	Case_status	Case_status	0.633026881402842	0.140349465641206	724	701	7.5547201883199e-06	0.000224983252437527
PWY3DJ.35471..L.ascorbate.biosynthesis.IV..animals..D.glucuronate.pathway.	Case_status	Case_status	0.861165313236235	0.1915739934915	724	273	8.09731590498723e-06	0.000235400540952129
GLUCUROCAT.PWY..superpathway.of..beta..D.glucuronosides.degradation	Case_status	Case_status	-0.252185980851406	0.0565115454796859	724	724	9.39633597846802e-06	0.00026681223790022
PWY.7242..D.fructuronate.degradation	Case_status	Case_status	-0.276971612137848	0.0625883321057483	724	724	1.1122570116947e-05	0.0003006691077867
PWY.7389..superpathway.of.anaerobic.energy.metabolism..invertebrates.	Case_status	Case_status	1.02247253079565	0.231263600249245	724	384	1.13274192941754e-05	0.0003006691077867
PWY.7456...beta...1.4..mannan.degradation	Case_status	Case_status	-0.289143602985154	0.0653279693841737	724	722	1.10855482618352e-05	0.0003006691077867
PWY.5505..L.glutamate.and.L.glutamine.biosynthesis	Case_status	Case_status	-0.354007602856045	0.0810066146865404	724	723	1.42461014580505e-05	0.000365933840864061
